,Time,Temperature,Humidity,RPM,Vibrations,Pressure,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Status
0,2020-01-01 00:00:00,31.11716,74.1715,72.0,16.81,76.0,0.7912249411764659,203.79342571428572,0.5829745387453874,799.1016833333333,7.149642599999999,15.842287124999999,0.0
1,2020-01-01 00:01:00,31.11716,74.1715,72.0,16.81,76.0,0.7912249411764659,203.79342571428572,0.5829745387453874,799.1016833333333,7.149642599999999,15.842287124999999,0.0
2,2020-01-01 00:02:00,32.08894,74.0803,72.0,17.08,76.0,0.8039877647058824,204.41188571428572,0.5755003690036901,834.8977000000001,7.0897286,15.7397428125,0.0
3,2020-01-01 00:03:00,31.6722099999999,73.9272,72.0,15.79,76.0,0.7432597647058823,204.36399428571426,0.5755003690036901,805.4679500000001,7.1353746,15.731202374999999,0.0
4,2020-01-01 00:04:00,31.95202,73.7603,72.0,16.84,76.0,0.7923910588235294,203.9478342857143,0.5840424354243542,822.1426500000001,7.092582199999999,15.77392818749988,0.0
5,2020-01-01 00:05:00,32.23816,73.9204,72.0,16.73,75.0,0.7875218823529412,203.46809428571427,0.6075321033210332,817.50585,7.1154052,15.842287124999999,0.0
6,2020-01-01 00:06:00,32.00982,74.0952,72.0,16.85,76.0,0.7929336470588235,204.1614514285714,0.6342250922509225,842.9463,7.1211124,15.86792025,0.0
7,2020-01-01 00:07:00,31.8832,74.1459,72.0,16.47,75.0,0.7749844705882353,202.81097142857095,0.6587826568265683,820.3676833333333,7.1039937,15.654291187499998,0.0
8,2020-01-01 00:08:00,32.09234,74.3597,72.0,16.86,76.0,0.7934851764705882,205.00916857142855,0.6715952029520295,835.8966,7.143935399999971,15.697016999999882,0.0
9,2020-01-01 00:09:00,32.25679,74.6621,72.0,16.38,76.0,0.7707171764705882,204.69670857142856,0.6886785977859778,837.2395500000001,7.092582199999999,15.808101749999999,0.0
10,2020-01-01 00:10:00,32.80076,74.6067,72.0,16.79,76.0,0.7900630588235295,203.6765142857143,0.7046944649446494,824.0964666666665,7.146789,15.842287124999999,0.0
11,2020-01-01 00:11:00,33.14559,74.1416,72.0,16.26,76.0,0.7650917647058824,204.11992285714285,0.7143040590405905,819.0246166666667,7.0897286,15.842287124999999,0.0
12,2020-01-01 00:12:00,33.46326,74.1461,72.0,16.42,76.0,0.7725943529411765,204.47833142857144,0.7217782287822878,807.6551,7.1353746,15.765375937499998,0.0
13,2020-01-01 00:13:00,33.63691,73.9138,72.0,16.76,76.0,0.7886023529411718,203.01764285714285,0.7249811808118081,832.6304,7.101140099999971,15.731202374999999,0.0
14,2020-01-01 00:14:00,34.46501,73.9183,72.0,16.21,76.0,0.7627985882352941,203.94040285714286,0.758080442804428,806.8051833333333,7.1154052,15.816654,0.0
15,2020-01-01 00:15:00,35.90224,73.9137,72.0,16.76,76.0,0.788682823529407,204.2840942857143,0.800789298892989,829.2431,7.1211124,15.77392818749988,0.0
16,2020-01-01 00:16:00,36.59018,74.063,72.0,17.01,76.0,0.8006508235294119,204.09349999999998,0.8456335793357933,818.6908333333334,7.1039937,15.714109687499997,0.0
17,2020-01-01 00:17:00,36.85331,74.5665,72.0,17.44,76.0,0.8206795294117647,204.76266857142858,0.8830036900369004,830.7322333333333,7.143935399999971,15.765375937499998,0.0
18,2020-01-01 00:18:00,36.8108299999999,74.0603,72.0,17.03,75.0,0.8014390588235294,202.6366485714286,0.8872745387453875,815.0907333333333,7.092582199999999,15.765375937499998,0.0
19,2020-01-01 00:19:00,36.4342,73.8333,72.0,17.33,76.0,0.8153190588235247,204.4642942857143,0.8648523985239852,813.2939500000001,7.146789,15.765375937499998,0.0
20,2020-01-01 00:20:00,36.6066099999999,73.9128,72.0,17.84,76.0,0.8396065882352894,203.81911999999997,0.8168051660516605,817.8853666666665,7.092582199999999,15.765375937499998,0.0
21,2020-01-01 00:21:00,37.28117,74.006,72.0,18.67,76.0,0.8785021176470541,204.52389142857143,0.7805025830258302,818.1364333333335,7.1353746,15.765375937499998,0.0
22,2020-01-01 00:22:00,37.80445,74.0582,72.0,18.93,76.0,0.8906343529411764,203.90086571428571,0.7751638376383764,817.9306333333334,7.101140099999971,15.842287124999999,0.0
23,2020-01-01 00:23:00,37.12904,73.9125,72.0,17.94,76.0,0.8442804705882353,204.23280285714287,0.7751638376383764,817.1088333333322,7.1154052,15.765375937499998,0.0
24,2020-01-01 00:24:00,37.33102,73.9764,72.0,17.27,75.0,0.8126381176470588,203.36007142857142,0.7655546125461256,807.5729666666667,7.1154052,15.731202374999999,0.0
25,2020-01-01 00:25:00,37.6117,73.9966,72.0,18.07,76.0,0.8502239999999953,204.35743714285715,0.7602158671586715,824.05435,7.1039937,15.765375937499998,0.0
26,2020-01-01 00:26:00,37.71874,74.0346,72.0,17.7,76.0,0.8331515294117647,205.02578,0.7516741697416974,825.7187166666668,7.1325239,15.697016999999882,0.0
27,2020-01-01 00:27:00,37.8311799999999,73.796,72.0,19.28,76.0,0.907356705882353,204.0525057142857,0.7420645756457565,812.3903666666666,7.101140099999971,15.944819625,0.0
28,2020-01-01 00:28:00,37.27541,73.9289,72.0,18.46,76.0,0.8687628235294117,203.36361714285712,0.7324553505535055,806.86795,7.146789,15.8508275625,0.0
29,2020-01-01 00:29:00,36.53423,73.9913,72.0,18.23,76.0,0.8581021176470541,203.17802571428572,0.7260490774907749,796.1179333333333,7.0897286,15.697016999999882,0.0
30,2020-01-01 00:30:00,37.06275,73.7797,72.0,17.29,76.0,0.8138682352941177,204.26175142857144,0.7367261992619927,807.2918,7.143935399999971,15.6286580625,0.0
31,2020-01-01 00:31:00,37.35512,73.8141,72.0,18.03,76.0,0.8483538823529412,204.0117542857143,0.7463354243542436,828.5286333333333,7.101140099999971,15.6286580625,0.0
32,2020-01-01 00:32:00,37.03322,73.9401,72.0,17.43,76.0,0.8201049411764706,203.18759428571428,0.7474033210332104,812.0614833333333,7.1154052,15.885012937499882,0.0
33,2020-01-01 00:33:00,37.06554,74.0039,72.0,16.52,76.0,0.7773025882352941,202.7278657142857,0.7602158671586715,807.6632666666666,7.1211124,15.765375937499998,0.0
34,2020-01-01 00:34:00,36.40334,73.969,72.0,17.85,76.0,0.8400357647058776,204.84941714285713,0.7740963099630996,799.6090666666665,7.1039937,15.731202374999999,0.0
35,2020-01-01 00:35:00,35.6866599999999,74.0592,72.0,18.15,76.0,0.8542418823529412,203.7669057142857,0.7805025830258302,824.1844333333333,7.1353746,15.808101749999999,0.0
36,2020-01-01 00:36:00,35.6866599999999,73.9951,72.0,18.15,76.0,0.8542418823529412,204.56561428571428,0.7805025830258302,810.2371666666655,7.1353746,15.808101749999999,0.0
